Creation_Date;Index_Symbol;Index_Name;Index ISIN;Internal_Key;ISIN;RIC;Instrument_Name;Country;Currency;Exchange;Index Membership;FF Mcap (MEUR);Rank (FINAL);Rank (PREVIOUS);Comment;Rank 2 (FINAL);Rank 2 (PREVIOUS)
20240301;SXXP;STOXX Europe 600;EU0009658202;IT90BV;IT0005366767;NEXII.MI;NEXI SPA;IT;EUR;Borsa Italiana;;3878.6469956165;407;393;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;DE1080;DE0007010803;RAAG.DE;RATIONAL;DE;EUR;XETRA;;3875.5782;408;429;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;FR509K;FR0004125920;AMUN.PA;AMUNDI;FR;EUR;Euronext Paris;;3869.08760992923;409;398;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;485283;NO0003053605;STB.OL;STOREBRAND;NO;NOK;Oslo Bors;;3845.73659473992;410;411;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;424749;BE0974259880;IETB.BR;D'IETEREN GROUP;BE;EUR;Euronext Brussels;;3804.0043049738;411;396;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;SE10RY;SE0017832488;BALDb.ST;FASTIGHETS BALDER B;SE;SEK;NASDAQ Stockholm;;3801.89733859539;412;389;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;FR702F;FR0000050809;SOPR.PA;SOPRA STERIA GROUP;FR;EUR;Euronext Paris;;3785.5111743104;413;445;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;407141;ES0113679I37;BKT.MC;BANKINTER;ES;EUR;BME Exchange;;3771.30081304548;414;427;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;IT201E;IT0004764699;BCU.MI;BRUNELLO CUCINELLI;IT;EUR;Borsa Italiana;;3770.226;415;472;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;904076;GB0000904986;BWY.L;BELLWAY;GB;GBP;London SE;;3766.96990487175;416;412;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;FR502D;FR0012435121;ELIS.PA;ELIS;FR;EUR;Euronext Paris;;3759.33711508038;417;430;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;400500;BE0974320526;UMI.BR;UMICORE;BE;EUR;Euronext Brussels;;3758.2413792;418;390;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;572670;DE000A1PHFF7;BOSSn.DE;HUGO BOSS;DE;EUR;XETRA;;3742.818816;419;449;;;
